,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
184,2024-03-31,Alaves,Real Sociedad,1.1,0.9,1.4,1.4,-1.0,0.5,4.3,2.28,3.05
185,2024-03-30,Valencia,Mallorca,1.3,1.1,0.8,0.9,0.0,1.0,2.28,4.4,3.05
186,2024-03-30,Getafe,Sevilla,1.3,1.3,1.1,1.2,0.0,0.0,2.78,3.15,3.2
187,2024-03-30,Barcelona,Las Palmas,2.2,2.1,0.9,1.0,3.0,-2.0,1.29,13.0,7.0
188,2024-03-17,Villarreal,Valencia,1.7,1.6,1.1,1.2,3.0,0.5,2.28,3.55,3.55
189,2024-03-17,Sevilla,Celta Vigo,1.4,1.3,1.4,1.1,1.0,-0.5,2.02,4.2,3.7
190,2024-03-17,Rayo Vallecano,Betis,0.9,0.8,1.0,1.2,-3.0,-0.5,2.7,3.25,3.15
191,2024-03-17,Atletico Madrid,Barcelona,2.4,1.9,1.8,2.0,0.0,3.0,2.24,3.5,3.75
192,2024-03-16,Osasuna,Real Madrid,1.1,1.1,1.8,2.1,0.5,2.5,8.2,1.51,4.7
193,2024-03-16,Getafe,Girona,1.3,1.3,1.7,2.1,-1.5,0.0,3.8,2.16,3.55
194,2024-03-16,Athletic Bilbao,Alaves,2.4,1.7,0.8,0.9,1.0,-0.5,1.61,8.2,3.9
195,2024-03-10,Real Madrid,Celta Vigo,2.4,2.1,1.5,1.1,2.0,-0.5,1.33,12.0,6.0
196,2024-03-10,Las Palmas,Athletic Bilbao,1.3,1.1,0.9,1.7,-1.0,0.5,5.0,1.9,3.6
197,2024-03-10,Betis,Villarreal,1.4,1.2,1.5,1.6,1.0,2.5,2.22,3.6,3.7
198,2024-03-10,Alaves,Rayo Vallecano,1.1,0.9,0.8,0.9,-1.0,-2.5,2.16,4.4,3.2
199,2024-03-09,Valencia,Getafe,1.3,1.2,1.4,1.3,-0.5,-1.0,1.93,5.6,3.3
200,2024-03-09,Girona,Osasuna,2.5,2.1,1.2,1.1,-1.0,1.5,1.56,7.2,4.7
201,2024-03-08,Barcelona,Mallorca,2.3,2.1,0.8,0.9,3.0,-0.5,1.49,8.6,4.7
202,2024-03-04,Osasuna,Alaves,1.1,1.2,0.8,1.0,1.0,0.5,2.4,3.75,3.2
203,2024-03-03,Mallorca,Girona,0.9,0.9,1.8,2.2,-1.0,0.0,3.8,2.2,3.5
204,2024-03-03,Atletico Madrid,Betis,2.5,2.0,1.0,1.2,1.0,2.0,1.55,7.4,4.5
205,2024-03-03,Athletic Bilbao,Barcelona,2.6,1.8,2.0,2.2,0.0,2.5,3.35,2.38,3.65
